,domain_hotel_id,url,domain_id,hotel_id
0,1000000361462,https://m.traveloka.com/vi-vn/hotel/vietnam/canary-hotel-1000000361462,2,71
1,3000020017508,https://m.traveloka.com/vi-vn/hotel/vietnam/vinpearl-hotel-hue-3000020017508,2,77
2,1000000340196,https://m.traveloka.com/vi-vn/hotel/vietnam/indochine-palace-1000000340196,2,123
3,1000000170888,https://m.traveloka.com/vi-vn/hotel/vietnam/century-riverside-hue-1000000170888,2,143
4,1000000502038,https://m.traveloka.com/vi-vn/hotel/vietnam/hue-smile-hotel-1000000502038,2,206
5,3000010041897,https://m.traveloka.com/vi-vn/hotel/vietnam/lang-co-beach-resort-3000010041897,2,245
6,1000000324595,https://m.traveloka.com/vi-vn/hotel/vietnam/duy-tan-hotel-1000000324595,2,262
7,1000000413581,https://m.traveloka.com/vi-vn/hotel/vietnam/alba-spa-hotel-1000000413581,2,331
8,1000000439617,https://m.traveloka.com/vi-vn/hotel/vietnam/hue-serene-palace-hotel-1000000439617,2,343
9,1000000342124,https://m.traveloka.com/vi-vn/hotel/vietnam/romance-hotel-hue-1000000342124,2,416
10,343576,/vi-vn/champa-lang-co-hotel/hotel/hue-vn.html,3,417
11,3000010030928,https://m.traveloka.com/vi-vn/hotel/vietnam/champa-lang-co-hotel-3000010030928,2,417
12,1000000246696,https://m.traveloka.com/vi-vn/hotel/vietnam/hotel-saigon-morin-1000000246696,2,446
13,1000000363755,https://m.traveloka.com/vi-vn/hotel/vietnam/mondial-hotel-hue-1000000363755,2,447
14,1000000469197,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-lich-royal-boutique-1000000469197,2,462
15,1000000413581,https://m.traveloka.com/vi-vn/hotel/vietnam/alba-spa-hotel-1000000413581,2,662
16,1000000467795,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-tan-hot-springs-by-fusion-1000000467795,2,695
17,8683153,-1,4,695
18,817125,https://www.booking.com/hotel/vn/alba-thanh-tan-hot-springs-resort.vi.html,5,695
19,1000000240823,https://m.traveloka.com/vi-vn/hotel/vietnam/huong-giang-hotel-resort-and-spa-1000000240823,2,707
20,1000000490850,https://m.traveloka.com/vi-vn/hotel/vietnam/stay-hue-hotel-1000000490850,2,765
21,1000000486694,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-lich-hue-hotel-1000000486694,2,769
22,1000000431222,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-uyen-hotel-hue-1000000431222,2,953
23,1000000258694,https://m.traveloka.com/vi-vn/hotel/vietnam/asia-hotel-hue-1000000258694,2,959
24,1000000268904,https://m.traveloka.com/vi-vn/hotel/vietnam/cherish-hotel-hue-1000000268904,2,1087
25,1000000435079,https://m.traveloka.com/vi-vn/hotel/vietnam/hue-riverside-boutique-resort--spa-1000000435079,2,1106
26,1000000324575,https://m.traveloka.com/vi-vn/hotel/vietnam/muong-thanh-holiday-hue-hotel-1000000324575,2,1262
27,1000000424099,https://m.traveloka.com/vi-vn/hotel/vietnam/dmz-hotel-1000000424099,2,1400
28,3000010034846,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-loan-hotel-3000010034846,2,1525
29,1000000500440,https://m.traveloka.com/vi-vn/hotel/vietnam/phong-nha-hotel-hue-1000000500440,2,1551
30,1000000414845,https://m.traveloka.com/vi-vn/hotel/vietnam/than-thien-friendly-hotel-1000000414845,2,1784
31,1000000235126,https://m.traveloka.com/vi-vn/hotel/vietnam/azerai-la-residence-hue-1000000235126,2,1878
32,3000010024935,https://m.traveloka.com/vi-vn/hotel/vietnam/nhu-phu-hotel-3000010024935,2,1926
33,1000000446427,https://m.traveloka.com/vi-vn/hotel/vietnam/binh-minh-sunrise-hotel-1000000446427,2,1954
34,1000000392926,https://m.traveloka.com/vi-vn/hotel/vietnam/hong-thien-1-hotel-1000000392926,2,1988
35,3000010041897,https://m.traveloka.com/vi-vn/hotel/vietnam/lang-co-beach-resort-3000010041897,2,2041
36,1000000401443,https://m.traveloka.com/vi-vn/hotel/vietnam/tran-ly-hotel--1000000401443,2,2114
37,1000000678062,https://m.traveloka.com/vi-vn/hotel/vietnam/why-not-hostel-1000000678062,2,2144
38,1000000443564,https://m.traveloka.com/vi-vn/hotel/vietnam/amigo-hotel-hue-1000000443564,2,2269
39,3000010038239,https://m.traveloka.com/vi-vn/hotel/vietnam/victory-hotel-hue-3000010038239,2,2350
40,1000000399099,https://m.traveloka.com/vi-vn/hotel/vietnam/hanh-dat-hotel-hue-1000000399099,2,2376
41,3000020015273,https://m.traveloka.com/vi-vn/hotel/vietnam/gardenia-hue-hotel-3000020015273,2,2431
42,1000000502537,https://m.traveloka.com/vi-vn/hotel/vietnam/ngu-binh-hotel-1000000502537,2,2451
43,1000000324575,https://m.traveloka.com/vi-vn/hotel/vietnam/muong-thanh-holiday-hue-hotel-1000000324575,2,2461
44,1000000505064,https://m.traveloka.com/vi-vn/hotel/vietnam/hotel-cyclist-1000000505064,2,2636
45,3000010041890,https://m.traveloka.com/vi-vn/hotel/vietnam/thai-binh-2-hotel-3000010041890,2,2649
46,43977910,-1,4,2665
47,1000000408416,https://m.traveloka.com/vi-vn/hotel/vietnam/new-valentine-hotel-hue-1000000408416,2,2665
48,1000000555871,https://m.traveloka.com/vi-vn/hotel/vietnam/home-hotel-hue-1000000555871,2,2677
49,1000000413572,https://m.traveloka.com/vi-vn/hotel/vietnam/alba-hotel-1000000413572,2,2691
50,3000010038228,https://m.traveloka.com/vi-vn/hotel/vietnam/hoang-du-hotel-3000010038228,2,2772
51,3000010037013,https://m.traveloka.com/vi-vn/hotel/vietnam/new-time-hotel--3000010037013,2,2852
52,3000010032309,https://m.traveloka.com/vi-vn/hotel/vietnam/nhat-le-hotel-3000010032309,2,2918
53,1000000392926,https://m.traveloka.com/vi-vn/hotel/vietnam/hong-thien-1-hotel-1000000392926,2,2929
54,3000010029611,https://m.traveloka.com/vi-vn/hotel/vietnam/glenda-hotel-3000010029611,2,2942
55,1000000244817,https://m.traveloka.com/vi-vn/hotel/vietnam/villa-hue-hotel-1000000244817,2,2984
56,5408478,https://www.booking.com/hotel/vn/phu-quy-phu-loc.vi.html,5,3026
57,1000000413552,https://m.traveloka.com/vi-vn/hotel/vietnam/areca-hotel-1000000413552,2,3062
58,1000000534591,https://m.traveloka.com/vi-vn/hotel/vietnam/hue-four-seasons-hotel-1000000534591,2,3106
59,3000010033538,https://m.traveloka.com/vi-vn/hotel/vietnam/minh-hieu-hotel-3000010033538,2,3160
60,3000010036773,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-minh-hotel-hue-3000010036773,2,3191
61,3000010036773,https://m.traveloka.com/vi-vn/hotel/vietnam/thanh-minh-hotel-hue-3000010036773,2,3192
62,1000000473708,https://m.traveloka.com/vi-vn/hotel/vietnam/canary-boutique-hotel-1000000473708,2,3266
63,1000000556134,https://m.traveloka.com/vi-vn/hotel/vietnam/liberty-hotel-hue-1000000556134,2,3295
64,3000010038245,https://m.traveloka.com/vi-vn/hotel/vietnam/hue-royal-hotel-3000010038245,2,3315
65,32833764,-1,4,3315
66,1000000324575,https://m.traveloka.com/vi-vn/hotel/vietnam/muong-thanh-holiday-hue-hotel-1000000324575,2,3317
67,1000000415365,https://m.traveloka.com/vi-vn/hotel/vietnam/holiday-diamond-hotel-1000000415365,2,3361
68,1000000397864,https://m.traveloka.com/vi-vn/hotel/vietnam/sunny-b-hotel-1000000397864,2,3368
69,3000020004998,https://m.traveloka.com/vi-vn/hotel/vietnam/tam-tinh-vien-homestay-3000020004998,2,3452
70,302678,/vi-vn/tam-tinh-vien-homestay/hotel/hue-vn.html,3,3452
71,3000010041897,https://m.traveloka.com/vi-vn/hotel/vietnam/lang-co-beach-resort-3000010041897,2,3477
72,3000010034840,https://m.traveloka.com/vi-vn/hotel/vietnam/minh-tam-guesthouse-3000010034840,2,3544
73,3000010031769,https://m.traveloka.com/vi-vn/hotel/vietnam/anh-tuan-guesthouse-hue-3000010031769,2,3565
74,3000020013822,https://m.traveloka.com/vi-vn/hotel/vietnam/hung-long-hostel-3000020013822,2,3578
75,33239745,-1,4,3578
76,3000010036181,https://m.traveloka.com/vi-vn/hotel/vietnam/phu-an-hotel-hue-3000010036181,2,3604
77,27569964,-1,4,3617
78,1000000526219,https://m.traveloka.com/vi-vn/hotel/vietnam/jade-hotel-hue-1000000526219,2,3617
