,id,name,name_no_accent,min_price_domain
68,3578,Thang Long 3 Hotel,thang long 3 hotel,342857
69,3604,2you Hotel,2you hotel,-1
70,3617,Khách sạn Huế Heritage (Hue Heritage Hotel),khach san hue heritage (hue heritage hotel),400000
71,3966,Căn hộ Le Domaine De Cocodo (Le Domaine De Cocodo Apartment),can ho le domaine de cocodo (le domaine de cocodo apartment),1300000
72,4217,Khách sạn Đồng Lợi (Dong Loi Hotel),khach san dong loi (dong loi hotel),270000
73,4273,Khách sạn Sunny C (Sunny C Hotel),khach san sunny c (sunny c hotel),354978
74,4282,Sunny A Hotel,sunny a hotel,248984
75,4352,Khách sạn Huế Thương (Hue Thuong Hotel),khach san hue thuong (hue thuong hotel),290537
76,4452,Nhà nghỉ Sunny Fine (Sunny Fine Guesthouse),nha nghi sunny fine (sunny fine guesthouse),207792
77,4455,Khách sạn Star Bình Dương (Star Binh Duong Hotel),khach san star binh duong (star binh duong hotel),204000
78,4501,NHÀ DÂN KHE SANH (KHE SANH HOMESTAY),nha dan khe sanh (khe sanh homestay),78750
79,4516,Khách sạn Ngọc Bình (Ngoc Binh Hotel),khach san ngoc binh (ngoc binh hotel),190476
80,4539,Binh Duong 2 Hotel,binh duong 2 hotel,225108
81,4567,Binh An Guesthouse,binh an guesthouse,149000
82,4578,Nhat Thanh Guesthouse,nhat thanh guesthouse,270000
83,4711,Nhà nghỉ Nguyệt Ánh (Nguyet Anh Guest House),nha nghi nguyet anh (nguyet anh guest house),260000
84,4718,Home Hotel,home hotel,329696
85,4750,Nova Hotel,nova hotel,93506
86,4825,Dang Tuan Hotel,dang tuan hotel,411764
87,4966,Hong Thien Ruby Hotel,hong thien ruby hotel,288915
88,5077,Oasis Bar and Hostel,oasis bar and hostel,-1
89,5268,Khách Sạn Cố Đô (Citadel Hotel),khach san co do (citadel hotel),-1
90,5873,Trang Tien Hotel,trang tien hotel,467533
91,5909,Huong Duong Hotel,huong duong hotel,314900
92,5937,Cat An Guesthouse,cat an guesthouse,138528
93,6155,Hue Happy Homestay,hue happy homestay,81818
94,6265,Khách Sạn Huế Nino (Hue Nino Hotel),khach san hue nino (hue nino hotel),279000
95,6391,Remy Hotel,remy hotel,-1
96,6410,Khách sạn Canary Huế (Canary Hue Hotel),khach san canary hue (canary hue hotel),311688
97,6949,Laurel Hotel Hue,laurel hotel hue,-1
98,6986,Khách sạn Lâm Bảo Long (Lam Bao Long Hotel),khach san lam bao long (lam bao long hotel),259740
99,7045,Halo Tourist Guest House,halo tourist guest house,210988
100,7046,Thien Thanh guest house,thien thanh guest house,500000
101,7064,Jade Hotel Hue,jade hotel hue,256277
102,7131,Khách sạn Boutique Casablanca (Casablanca Boutique hotel),khach san boutique casablanca (casablanca boutique hotel),256956
103,7589,Thanh An Guesthouse,thanh an guesthouse,154978
104,7919,Khách sạn Thái Bình 2,khach san thai binh 2,493506
105,8721,Tai Hai Guest House,tai hai guest house,-1
106,8722,Khách sạn Casablanca (Casablanca Hotel),khach san casablanca (casablanca hotel),251304
107,8725,Khách Sạn & Spa Serene Shining Huế (Hue Serene Shining Hotel & Spa),khach san & spa serene shining hue (hue serene shining hotel & spa),427273
108,8728,Duc Tai Guesthouse,duc tai guesthouse,146677
109,8729,Anh Tuan Hotel,anh tuan hotel,226840
110,8734,Phu Hiep Guest House,phu hiep guest house,136364
111,8735,My Ngoc Guest house,my ngoc guest house,132468
112,8737,Thanh Hang Guesthouse,thanh hang guesthouse,149000
113,8739,Thanh Dinh Guest House,thanh dinh guest house,259740
114,8918,Hue Spring HomeStay,hue spring homestay,242424
115,8919,Guesthouse B&B,guesthouse b&b,230851
116,9703,Pilgrimage Village Boutique Resort & Spa,pilgrimage village boutique resort & spa,1429465
117,9810,Villa Louise Beach Resort Hue,villa louise beach resort hue,1280000
118,9869,Khe Sanh HomeStay,khe sanh homestay,78750
119,9893,Kim's Homestay,kim's homestay,80000
120,21653,Thanh An 3 Guesthouse,thanh an 3 guesthouse,154978
121,21662,Poetic Hue Hostel,poetic hue hostel,94999
122,21673,Volga Hotel,volga hotel,229437
123,22166,Moon & Sun Hostel,moon & sun hostel,283506
124,22199,Khách sạn Hue Smile (Hue Smile Hotel),khach san hue smile (hue smile hotel),428571
125,22343,Charming Riverside Hotel,charming riverside hotel,259740
126,22380,Nam Phuong Riverside Villa,nam phuong riverside villa,65217
127,22536,Rubis Hostel,rubis hostel,163636
128,22732,La Perle Hotel (HOTEL LA PERLE),la perle hotel (hotel la perle),382337
129,22741,The Scarlett Boutique Hotel,the scarlett boutique hotel,557423
130,22774,Amy Hostel Hue,amy hostel hue,400000
131,23047,Share Dorm Hostel,share dorm hostel,-1
132,23228,Jade Hotel,jade hotel,256277
133,23341,Rosaleen Boutique Hotel,rosaleen boutique hotel,712800
134,23411,Khách Sạn EMM Huế (EMM Hotel Hue),khach san emm hue (emm hotel hue),874181
135,23418,Hue Amazing Family Homestay,hue amazing family homestay,81818
136,23518,Hoang Du Hotel,hoang du hotel,375000
137,23699,Phuoc An DMZ Hotel,phuoc an dmz hotel,340238
138,29475,Gardenia Hue Hotel,gardenia hue hotel,441558
139,29483,KHÁCH SẠN BALY HUẾ (BALY HOTEL HUE),khach san baly hue (baly hotel hue),428571
140,29514,Beaulieu Boutique Hotel Hue,beaulieu boutique hotel hue,314610
141,29672,Trang Hotel,trang hotel,-1
142,29676,Alibaba hot,alibaba hot,-1
143,41168,Khách sạn Laurel Huế (Laurel Hotel Hue),khach san laurel hue (laurel hotel hue),441176
144,41169,Stop & Go HomeStay (STOP and GO Boutique Homestay in Hue),stop & go homestay (stop and go boutique homestay in hue),451636
145,41171,Khách sạn Vinpearl Huế (Vinpearl Hotel Hue),khach san vinpearl hue (vinpearl hotel hue),1468398
146,41172,Everhome,everhome,294372
147,41175,TinTin Hue hostel,tintin hue hostel,69264
148,41176,Amona Hotel,amona hotel,241039
149,41177,Soleil Hostel - Nhà Trọ (Soleil House - Hostel),soleil hostel - nha tro (soleil house - hostel),129870
150,41178,Avon Hotel,avon hotel,-1
151,41180,Poetic Hue Hotel,poetic hue hotel,94999
152,41181,Nhà Nghỉ Candy Huế (Candy Inn Hue),nha nghi candy hue (candy inn hue),327273
153,41182,Le Robinet Homestay,le robinet homestay,218182
154,41183,Khách sạn The Sunriver Boutique Huế (The Sunriver Boutique Hotel Hue),khach san the sunriver boutique hue (the sunriver boutique hotel hue),345455
155,41184,Nice Hue Hotel,nice hue hotel,381818
156,41186,Khách Sạn The Times (The Times Hotel),khach san the times (the times hotel),233766
157,41187,La Paix Huế (La Paix Hue),la paix hue (la paix hue),597403
158,41189,Khách Sạn Sapphire Huế (Sapphire Hotel Hue),khach san sapphire hue (sapphire hotel hue),294545
159,41190,Thanh Huong Homestay,thanh huong homestay,140260
160,41191,Nhà Trọ MaiLy (MaiLy Hostel),nha tro maily (maily hostel),68457
161,41192,Nhà Nghỉ Cảnh Dương (Canh Duong Motel),nha nghi canh duong (canh duong motel),-1
162,41193,Khách sạn Cherry Huế (Cherry Hotel Hue),khach san cherry hue (cherry hotel hue),412987
163,41194,Quan Hostel,quan hostel,121258
164,41195,Hue River Side Villa,hue river side villa,589257
165,41197,Friendly House Hostel,friendly house hostel,209091
166,41198,The G.Hotel Hue,the g.hotel hue,498701
167,41200,Sankofa Village Hill Resort and Spa,sankofa village hill resort and spa,2000000
168,41201,SOLEIL HOSTEL,soleil hostel,129870
169,41202,Kha Hotel,kha hotel,93506
170,41204,SH Hotel,sh hotel,168182
171,41206,Shark Homestay,shark homestay,352941
172,41207,Sunshine Hostel Hue,sunshine hostel hue,70130
173,41209,Anh Xuan Guest House,anh xuan guest house,121212
174,41211,Deja Vu Homestay,deja vu homestay,116883
175,41212,Thanh An Homestay,thanh an homestay,191304
176,41213,NHÀ DÂN MICKEY HUẾ (Mickey Homestay Hue),nha dan mickey hue (mickey homestay hue),-1
177,41215,Bon Ami Hostel,bon ami hostel,33252
178,41217,Spring Garden Villa,spring garden villa,365791
179,41218,Snooze Hostel,snooze hostel,86580
180,41220,Khách Sạn Huế Royal (Hue Royal Hotel),khach san hue royal (hue royal hotel),359610
181,41223,Daisy Hostel,daisy hostel,118182
182,41224,Bonjour Hostel,bonjour hostel,99000
183,41225,New Life Homestay,new life homestay,63636
184,41226,TOVO HOSTEL,tovo hostel,81818
185,41228,La Homestay,la homestay,100000
186,41229,Nhà nghỉ Hương Tuần (Huong Tuan Farmstay),nha nghi huong tuan (huong tuan farmstay),210390
187,41230,Khai Hoan Hotel,khai hoan hotel,189655
188,41231,Khách Sạn Beaulieu Boutique (Beaulieu Boutique Hotel),khach san beaulieu boutique (beaulieu boutique hotel),314610
189,41232,The Sunriver Boutique Hotel,the sunriver boutique hotel,345455
190,41234,Duc Tai 22 Guesthouse,duc tai 22 guesthouse,146677
191,41235,Codo Homestay,codo homestay,115000
192,41236,Vietnam Backpacker Hostels - Hue,vietnam backpacker hostels - hue,64935
193,41237,Khách sạn Carnosa Huế (Carnosa Hotel Hue),khach san carnosa hue (carnosa hotel hue),263095
194,41238,Thanh An 2 Guesthouse,thanh an 2 guesthouse,141905
195,41239,Green Field Homestay,green field homestay,-1
196,41240,Rabbit Motel,rabbit motel,389610
197,41241,Hung Long Hostel,hung long hostel,342857
198,41243,Royal Crest Hotel,royal crest hotel,288000
199,41245,Timothy Homestay,timothy homestay,354545
200,41247,Hue Sweethouse Homestay,hue sweethouse homestay,-1
201,41248,Guest House Maika,guest house maika,210988
202,41249,Bamboo Homestay Hue,bamboo homestay hue,279654
203,41250,Amy 2 Hostel,amy 2 hostel,73593
204,41254,sala homestay hue,sala homestay hue,242424
205,41255,Nhat Khanh Motel,nhat khanh motel,199134
206,41258,The Dreamers Homestay,the dreamers homestay,232800
207,41261,BEAN HOMESTAY,bean homestay,-1
208,41269,Botanic House Hue,botanic house hue,360000
209,41275,Kota’s House Homestay,kota's house homestay,223200
210,41279,COY Homestay,coy homestay,115000
211,41280,Canh Tien Guest house,canh tien guest house,323357
212,41282,Nha nghi Tra Giang,nha nghi tra giang,200000
213,41284,liberty homestay Hue,liberty homestay hue,140909
214,41288,Velvet Rose Hotel,velvet rose hotel,-1
215,41289,"Nhà mặt đất 240 m² 2 phòng ngủ, 2 phòng tắm riêng ở Thành phố Huế (Mina Guest House)","nha mat dat 240 m2 2 phong ngu, 2 phong tam rieng o thanh pho hue (mina guest house)",-1
216,41295,"Nhà mặt đất 300 m² 3 phòng ngủ, 2 phòng tắm riêng ở Thành phố Huế (Tâm Homestay)","nha mat dat 300 m2 3 phong ngu, 2 phong tam rieng o thanh pho hue (tam homestay)",-1
217,41298,AnAn's House & Spa,anan's house & spa,150000
218,41300,Hallo,hallo,163636
219,41303,Rang Dong Hue Hotel,rang dong hue hotel,313247
220,41304,"25 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thành phố Huế (Spring Garden Villa/Honeymoon room-6/Balcony)","25 m2 1 phong ngu, 1 phong tam rieng o thanh pho hue (spring garden villa/honeymoon room-6/balcony)",699999
221,41306,Anh Ngoc Guesthouse,anh ngoc guesthouse,132468
222,41309,Coco Homestay Hue,coco homestay hue,-1
223,41312,Spring Garden Villa - Azalea Room,spring garden villa - azalea room,365791
224,41314,NHÀ DÂN MAI HÀ (MAI HA HOMESTAY),nha dan mai ha (mai ha homestay),705846
225,41317,Ana Homestay,ana homestay,692641
226,41318,Pilgrimage Wellness Retreat,pilgrimage wellness retreat,4661949
227,41319,Rose Villa Beach,rose villa beach,927840
228,41325,Lab House /Apartment,lab house /apartment,-1
229,41329,Ha Phuong Homestay,ha phuong homestay,700000
230,41330,Lavin Home,lavin home,480000
231,41334,NGOC Homestay,ngoc homestay,90909
232,41335,SaKe homestay Hue,sake homestay hue,81818
233,41337,Snooze Garden,snooze garden,233766
234,41341,royal hostel Hue,royal hostel hue,288000
235,41342,Rabbit Homestay,rabbit homestay,218182
236,41345,Shmily Homestay,shmily homestay,117000
237,41348,Homestay Minh Nguyen,homestay minh nguyen,200000
238,41349,anh's homestay,anh's homestay,115000
239,44241,Hue Melody Hostel,hue melody hostel,89610
240,44965,CODO HOME,codo home,140640
241,45547,Ideal Hotel Hue,ideal hotel hue,467532
242,45571,Century Riverside Hotel Hue,century riverside hotel hue,3744145
243,45589,Vinpearl Hotel Huế,vinpearl hotel hue,1468398
244,45757,Sunshine 1 Hotel,sunshine 1 hotel,77922
245,45759,Sunshine 3 Hotel,sunshine 3 hotel,70130
246,45970,Lovely Homestay Hue,lovely homestay hue,229183
247,45972,Na Na Homestay,na na homestay,77922
248,45991,Lagom Home Hostel,lagom home hostel,311688
249,46035,Cherry Villa,cherry villa,350000
250,46049,Dolly Home,dolly home,252000
251,46089,Diep's Homestay Hue,diep's homestay hue,315584
252,46102,Senna Hue Hotel,senna hue hotel,1132381
253,46209,Khách sạn Hue Mate,khach san hue mate,498701
254,46551,Nhà nghỉ Hải Nguyệt,nha nghi hai nguyet,194805
255,46572,Ancient Hue Garden Houses,ancient hue garden houses,3160173
256,46736,Khách sạn Trường Tình,khach san truong tinh,342857
257,46771,Hue Lotus,hue lotus,229870
258,46779,Loving Home Hue,loving home hue,187500
259,46791,Baloo Hostel,baloo hostel,101299
260,46813,Kenvin Homestay,kenvin homestay,70130
261,46814,The Chill Homestay In Hue,the chill homestay in hue,300000
262,46882,OYO 721 Ben Homestay - Hostel,oyo 721 ben homestay - hostel,450761
263,47176,Asean Garden Homestay Huế,asean garden homestay hue,296104
264,47187,Nhà nghỉ Tân Song Yến,nha nghi tan song yen,124057
265,47201,Tabi Homestay - Hostel,tabi homestay - hostel,220909
266,47288,Starfruit Villa,starfruit villa,300000
267,47505,Hue Lotus Homestay,hue lotus homestay,101818
268,8,Khách sạn Đông Xuân Hồng Phú Quốc (Dong Xuan Hong Hotel Phu Quoc),khach san dong xuan hong phu quoc (dong xuan hong hotel phu quoc),656000
269,10,Khách sạn Blue Ocean (Blue Ocean Hotel),khach san blue ocean (blue ocean hotel),637500
270,39,Phu Quoc Chez Carole Beach Resort,phu quoc chez carole beach resort,681818
271,102,Cửu Long Phú Quốc Resort (Cuu Long Phu Quoc Resort),cuu long phu quoc resort (cuu long phu quoc resort),1166129
272,130,Hương Giang Bungalow (Huong Giang Bungalow),huong giang bungalow (huong giang bungalow),354978
273,173,Kim Hoa Resort (Kim Hoa Phu Quoc Resort),kim hoa resort (kim hoa phu quoc resort),1266254
274,201,Mon Bungalow,mon bungalow,471000
275,280,Khách Sạn & Sky Bar Venus Phú Quốc (Venus Hotel & Sky Bar Phu Quoc),khach san & sky bar venus phu quoc (venus hotel & sky bar phu quoc),489720
276,286,Resort La Mer Phú Quốc (La Mer Resort Phu Quoc),resort la mer phu quoc (la mer resort phu quoc),761905
277,298,Phu Quoc Island Resort and Spa,phu quoc island resort and spa,311688
278,332,Ha Tien Happy Hotel,ha tien happy hotel,623700
279,372,Khách sạn Gold Beach (Gold Beach Hotel),khach san gold beach (gold beach hotel),649351
280,393,Homestead Phu Quoc Resort,homestead phu quoc resort,666667
281,415,Khách sạn Gia Huy (Gia Huy Hotel Phu Quoc),khach san gia huy (gia huy hotel phu quoc),667522
282,430,The Shells Resort & Spa - Phu Quoc,the shells resort & spa - phu quoc,1609091
283,436,Vinpearl Resort & Spa Phú Quốc,vinpearl resort & spa phu quoc,2770563
284,477,Orange Resort,orange resort,1196800
285,482,Resort Hiệp Thạnh (Hiep Thanh Resort),resort hiep thanh (hiep thanh resort),692641
286,506,Khu Nghỉ Dưỡng Long Beach Phú Quốc (Long Beach Resort - Phu Quoc Island),khu nghi duong long beach phu quoc (long beach resort - phu quoc island),380000
287,538,Khách sạn & Resort Tràng An Phú Quốc (Dreamland Trang An Resort),khach san & resort trang an phu quoc (dreamland trang an resort),699134
288,552,Terrace Resort,terrace resort,556800
289,554,Hòn Trẹm Resort & Spa,hon trem resort & spa,960000
290,619,Phu My Hotel,phu my hotel,305577
291,642,Eden Phú Quốc Resort,eden phu quoc resort,1166129
292,680,La Vita Resort Phú Quốc (La Vita Resort Phu Quoc),la vita resort phu quoc (la vita resort phu quoc),900891
293,692,Khách Sạn Cội Nguồn Phú Quốc (Coi Nguon Phu Quoc Hotel),khach san coi nguon phu quoc (coi nguon phu quoc hotel),545455
294,747,Resort Hòa Bình Phú Quốc (Hoa Binh Phu Quoc Resort),resort hoa binh phu quoc (hoa binh phu quoc resort),1373822
295,842,Khách sạn Boulevard Phú Quốc (Boulevard Phu Quoc Hotel),khach san boulevard phu quoc (boulevard phu quoc hotel),950000
296,848,River Hotel Ha Tien,river hotel ha tien,517246
297,868,La Veranda Phú Quốc Resort (La Veranda Resort Phu Quoc),la veranda phu quoc resort (la veranda resort phu quoc),1980693
298,869,Phu Quoc Village,phu quoc village,735931
299,910,Arcadia Phú Quốc Resort,arcadia phu quoc resort,389610
300,963,An An Hotel,an an hotel,225108
301,1002,Castaways Resort,castaways resort,1038961
302,1035,Hòa Bình Rạch Giá Resort (Hoa Binh - Rach Gia Resort),hoa binh rach gia resort (hoa binh - rach gia resort),770000
303,1073,Viet Thanh Resort,viet thanh resort,595000
304,1091,L'Azure Resort and Spa Phu Quoc,l'azure resort and spa phu quoc,1528000
305,1092,Resort Tăng Thạnh Phát (Tang Thanh Phat Resort),resort tang thanh phat (tang thanh phat resort),202598
306,1304,Khách sạn Hương Biển Phú Quốc (Huong Bien Hotel Phu Quoc),khach san huong bien phu quoc (huong bien hotel phu quoc),667522
307,1323,Lan Anh Garden Resort,lan anh garden resort,519481
308,1357,Resort Thiên Hải Sơn (Thien Hai Son Resort),resort thien hai son (thien hai son resort),1475437
309,1431,Sài Gòn Phú Quốc Resort (Saigon Phu Quoc Resort and Spa),sai gon phu quoc resort (saigon phu quoc resort and spa),1170563
310,1435,Thanh Kieu Beach Resort,thanh kieu beach resort,939419
311,1488,Mango Bay Phu Quoc Resort,mango bay phu quoc resort,995671
312,1489,Tropicana Resort Phú Quốc,tropicana resort phu quoc,735195
313,1516,Khách sạn Phúc Lộc (Phuc Loc Hotel),khach san phuc loc (phuc loc hotel),500000
314,1584,Mekong Space Bungalow,mekong space bungalow,600000
315,1600,Resort Vũng Bàu (Vung Bau Resort),resort vung bau (vung bau resort),498701
316,1721,Lien Hiep Thanh Resort,lien hiep thanh resort,840000
317,1777,Khu Nghỉ Dưỡng Mai Spa (Mai Spa Resort),khu nghi duong mai spa (mai spa resort),1037381
318,1782,Phú Quốc Kim Bungalow On The Beach (Phu Quoc Kim Bungalow On The Beach),phu quoc kim bungalow on the beach (phu quoc kim bungalow on the beach),584416
319,1900,Khu nghỉ dưỡng Sirena (Sirena Resort),khu nghi duong sirena (sirena resort),550039
320,1984,Cassia Cottage Resort,cassia cottage resort,1380022
321,2049,Sao Biển Resort (Sea Star Resort),sao bien resort (sea star resort),784333
322,2085,Phu Quoc Paris Beach Resort,phu quoc paris beach resort,594000
323,2092,Khu nghỉ dưỡng Bamboo Cottages (Bamboo Cottages),khu nghi duong bamboo cottages (bamboo cottages),1512987
324,2096,Khách sạn Hiệp Thoại Phú Quốc (Hiep Thoai Hotel Phu Quoc),khach san hiep thoai phu quoc (hiep thoai hotel phu quoc),902400
325,2126,Coco Palm Beach Resort & Spa,coco palm beach resort & spa,1453813
326,2353,Khách sạn Sea Light,khach san sea light,254545
327,2384,Nhat Huy Garden Guesthouse,nhat huy garden guesthouse,316164
328,2481,Nhà nghỉ Liên Tho (Lien Tho Guest House),nha nghi lien tho (lien tho guest house),350000
329,2510,Huong Toan 1 Hotel,huong toan 1 hotel,458874
330,2533,Khu Nghỉ Salinda Phú Quốc (Salinda Resort Phu Quoc Island),khu nghi salinda phu quoc (salinda resort phu quoc island),2113692
331,2571,Bungalow Sóng Xanh (Song Xanh Bungalow),bungalow song xanh (song xanh bungalow),314617
332,2689,Mai Phương Resort,mai phuong resort,1309091
333,2712,Wild Beach Phu Quoc Resort,wild beach phu quoc resort,781139
334,2820,Bungalow Mai Phuong Bình,bungalow mai phuong binh,745000
335,2965,Kinh Bắc Bungalow Resort (Kinh Bac Bungalow Resort),kinh bac bungalow resort (kinh bac bungalow resort),623377
336,3002,Nhat Quynh 1 Hotel,nhat quynh 1 hotel,335000
337,3007,Anh Dao Hotel,anh dao hotel,420000
338,3074,Nhà nghỉ Cây Cọ (The Palm Tree Guest House),nha nghi cay co (the palm tree guest house),233766
339,3095,Khách sạn Victoria Phú Quốc (Victoria Phu Quoc Hotel),khach san victoria phu quoc (victoria phu quoc hotel),331168
340,3199,Nhà nghỉ Ngọc Ngân (Ngoc Ngan Guest House),nha nghi ngoc ngan (ngoc ngan guest house),303030
341,3217,Khách sạn Phúc Hưng 2 (Phuc Hung Hotel 2),khach san phuc hung 2 (phuc hung hotel 2),346320
342,3277,Chau Thu Guesthouse Ha Tien,chau thu guesthouse ha tien,315000
343,3399,Gold Coast Resort,gold coast resort,1786562
344,3486,Hoa Nhật Lan Bungalow (Hoa Nhat Lan Bungalow),hoa nhat lan bungalow (hoa nhat lan bungalow),530000
345,3542,My Lan Hotel,my lan hotel,497835
346,3595,Ha Nga Bungalows,ha nga bungalows,372294
347,3665,Pepper Farm Phu Quoc Bungalow,pepper farm phu quoc bungalow,259740
348,3724,Khách sạn Palace 2 (Palace 2 Hotel),khach san palace 2 (palace 2 hotel),606061
349,3746,Nhà nghỉ Phương Dung Phú Quốc ( Phuong Dung Phu Quoc Guest House ),nha nghi phuong dung phu quoc ( phuong dung phu quoc guest house ),311688
350,3887,Du Hung 2 Hotel,du hung 2 hotel,329004
351,3943,Khách sạn Phúc Hưng 1 (Phuc Hung Hotel 1),khach san phuc hung 1 (phuc hung hotel 1),346320
352,4031,Khách sạn Thiên Phú Nghĩa,khach san thien phu nghia,320000
353,4039,Phuong Hang Guesthouse,phuong hang guesthouse,305629
354,4044,Nhà Khách Kitaro (Kitaro Hostel),nha khach kitaro (kitaro hostel),600000
355,4076,Resort Đồi Nai Vàng (Doi Nai Vang Resort),resort doi nai vang (doi nai vang resort),-1
356,4189,Phuong Binh House,phuong binh house,705182
357,4201,Nhà Dân Thế Lâm (The Lam Homestay),nha dan the lam (the lam homestay),251082
